pokedex_number|pokedex_number_form|name|hp|attack|defense|sp_attack|sp_defense|speed|base_total|base_average|ability_1|ability_2|hidden_ability|type_1|type_2|japanese_name|catch_rate|base_friendship_old|base_friendship|exp_100|category|height_m|weight_kg|hatch_cycles|percentage_male|gen|starter|legendary|mythical|pseudo-legendary|ultra_beast|mega_evolution|fossil
17|17|Pidgeotto|63|60|55|50|50|71|349|58.17|Keen Eye|Tangled Feet|Big Pecks|Normal|Flying|Pigeonピジョン|120.0|70.0|50|1059860.0|Bird Pokémon|1.1|30.0|15|50|1|False|False|False|False|False|False|False
18|18|Pidgeot|83|80|75|70|70|101|479|79.83|Keen Eye|Tangled Feet|Big Pecks|Normal|Flying|Pigeotピジョット|45.0|70.0|50|1059860.0|Bird Pokémon|1.5|39.5|15|50|1|False|False|False|False|False|False|False
18|018M|Pidgeot (Mega Pidgeot)|83|80|80|135|80|121|579|96.5|No Guard|||Normal|Flying|MegaPigeotメガピジョット|45.0|70.0|50|1059860.0|Bird Pokémon|2.2|50.5|15|50|1|False|False|False|False|False|True|False
19|19|Rattata|30|56|35|25|35|72|253|42.17|Run Away|Guts|Hustle|Normal||Korattaコラッタ|255.0|70.0|50|1000000.0|Mouse Pokémon|0.3|3.5|15|50|1|False|False|False|False|False|False|False
19|019A|Rattata (Alolan Rattata)|30|56|35|25|35|72|253|42.17|Gluttony|Hustle|Thick Fat|Dark|Normal|Korattaコラッタ|255.0|70.0|50|1000000.0|Mouse Pokémon|0.3|3.8|15|50|1|False|False|False|False|False|False|False
20|20|Raticate|55|81|60|50|70|97|413|68.83|Run Away|Guts|Hustle|Normal||Rattaラッタ|127.0|70.0|50|1000000.0|Mouse Pokémon|0.7|18.5|15|50|1|False|False|False|False|False|False|False
20|020A|Raticate (Alolan Raticate)|75|71|70|40|80|77|413|68.83|Gluttony|Hustle|Thick Fat|Dark|Normal|Rattaラッタ|127.0|70.0|50|1000000.0|Mouse Pokémon|0.7|25.5|15|50|1|False|False|False|False|False|False|False
21|21|Spearow|40|60|30|31|31|70|262|43.67|Keen Eye||Sniper|Normal|Flying|Onisuzumeオニスズメ|255.0|70.0|50|1000000.0|Tiny Bird Pokémon|0.3|2.0|15|50|1|False|False|False|False|False|False|False
22|22|Fearow|65|90|65|61|61|100|442|73.67|Keen Eye||Sniper|Normal|Flying|Onidrillオニドリル|90.0|70.0|50|1000000.0|Beak Pokémon|1.2|38.0|15|50|1|False|False|False|False|False|False|False
23|23|Ekans|35|60|44|40|54|55|288|48.0|Intimidate|Shed Skin|Unnerve|Poison||Arboアーボ|255.0|70.0|50|1000000.0|Snake Pokémon|2.0|6.9|20|50|1|False|False|False|False|False|False|False
24|24|Arbok|60|95|69|65|79|80|448|74.67|Intimidate|Shed Skin|Unnerve|Poison||Arbokアーボック|90.0|70.0|50|1000000.0|Cobra Pokémon|3.5|65.0|20|50|1|False|False|False|False|False|False|False
25|25|Pikachu|35|55|40|50|50|90|320|53.33|Static||Lightning Rod|Electric||Pikachuピカチュウ|190.0|70.0|50|1000000.0|Mouse Pokémon|0.4|6.0|10|50|1|False|False|False|False|False|False|False
25|025Pa|Pikachu (Partner Pikachu)|45|80|50|75|60|120|430|71.67|Static|||Electric||Pikachuピカチュウ|255.0|70.0|50|1000000.0|Mouse Pokémon|0.4|6.0|10|50|1|False|False|False|False|False|False|False
26|26|Raichu|60|90|55|90|80|110|485|80.83|Static||Lightning Rod|Electric||Raichuライチュウ|75.0|70.0|50|1000000.0|Mouse Pokémon|0.8|30.0|10|50|1|False|False|False|False|False|False|False
26|026A|Raichu (Alolan Raichu)|60|85|50|95|85|110|485|80.83|Surge Surfer|||Electric|Psychic|Raichuライチュウ|75.0|70.0|50|1000000.0|Mouse Pokémon|0.7|21.0|10|50|1|False|False|False|False|False|False|False
27|27|Sandshrew|50|75|85|20|30|40|300|50.0|Sand Veil||Sand Rush|Ground||Sandサンド|255.0|70.0|50|1000000.0|Mouse Pokémon|0.6|12.0|20|50|1|False|False|False|False|False|False|False
27|027A|Sandshrew (Alolan Sandshrew)|50|75|90|10|35|40|300|50.0|Snow Cloak||Slush Rush|Ice|Steel|Sandサンド|255.0|70.0|50|1000000.0|Mouse Pokémon|0.7|40.0|20|50|1|False|False|False|False|False|False|False
28|28|Sandslash|75|100|110|45|55|65|450|75.0|Sand Veil||Sand Rush|Ground||Sandpanサンドパン|90.0|70.0|50|1000000.0|Mouse Pokémon|1.0|29.5|20|50|1|False|False|False|False|False|False|False
28|028A|Sandslash (Alolan Sandslash)|75|100|120|25|65|65|450|75.0|Snow Cloak||Slush Rush|Ice|Steel|Sandpanサンドパン|90.0|70.0|50|1000000.0|Mouse Pokémon|1.2|55.0|20|50|1|False|False|False|False|False|False|False
29|29|Nidoran♀|55|47|52|40|40|41|275|45.83|Poison Point|Rivalry|Hustle|Poison||Nidoran?ニドラン♀|235.0|70.0|50|1059860.0|Poison Pin Pokémon|0.4|7.0|20|0|1|False|False|False|False|False|False|False
30|30|Nidorina|70|62|67|55|55|56|365|60.83|Poison Point|Rivalry|Hustle|Poison||Nidorinaニドリーナ|120.0|70.0|50|1059860.0|Poison Pin Pokémon|0.8|20.0|20|0|1|False|False|False|False|False|False|False
31|31|Nidoqueen|90|92|87|75|85|76|505|84.17|Poison Point|Rivalry|Sheer Force|Poison|Ground|Nidoqueenニドクイン|45.0|70.0|50|1059860.0|Drill Pokémon|1.3|60.0|20|0|1|False|False|False|False|False|False|False
32|32|Nidoran♂|46|57|40|40|40|50|273|45.5|Poison Point|Rivalry|Hustle|Poison||Nidoran?ニドラン♂|235.0|70.0|50|1059860.0|Poison Pin Pokémon|0.5|9.0|20|100|1|False|False|False|False|False|False|False
33|33|Nidorino|61|72|57|55|55|65|365|60.83|Poison Point|Rivalry|Hustle|Poison||Nidorinoニドリーノ|120.0|70.0|50|1059860.0|Poison Pin Pokémon|0.9|19.5|20|100|1|False|False|False|False|False|False|False
34|34|Nidoking|81|102|77|85|75|85|505|84.17|Poison Point|Rivalry|Sheer Force|Poison|Ground|Nidokingニドキング|45.0|70.0|50|1059860.0|Drill Pokémon|1.4|62.0|20|100|1|False|False|False|False|False|False|False
35|35|Clefairy|70|45|48|60|65|35|323|53.83|Cute Charm|Magic Guard|Friend Guard|Fairy||Pippiピッピ|150.0|140.0|140|800000.0|Fairy Pokémon|0.6|7.5|10|25.0|1|False|False|False|False|False|False|False
36|36|Clefable|95|70|73|95|90|60|483|80.5|Cute Charm|Magic Guard|Unaware|Fairy||Pixyピクシー|25.0|140.0|140|800000.0|Fairy Pokémon|1.3|40.0|10|25.0|1|False|False|False|False|False|False|False
37|37|Vulpix|38|41|40|50|65|65|299|49.83|Flash Fire||Drought|Fire||Rokonロコン|190.0|70.0|50|1000000.0|Fox Pokémon|0.6|9.9|20|25.0|1|False|False|False|False|False|False|False
37|037A|Vulpix (Alolan Vulpix)|38|41|40|50|65|65|299|49.83|Snow Cloak||Snow Warning|Ice||Rokonロコン|190.0|70.0|50|1000000.0|Fox Pokémon|0.6|9.9|20|25.0|1|False|False|False|False|False|False|False
38|38|Ninetales|73|76|75|81|100|100|505|84.17|Flash Fire||Drought|Fire||Kyukonキュウコン|75.0|70.0|50|1000000.0|Fox Pokémon|1.1|19.9|20|25.0|1|False|False|False|False|False|False|False
38|038A|Ninetales (Alolan Ninetales)|73|67|75|81|100|109|505|84.17|Snow Cloak||Snow Warning|Ice|Fairy|Kyukonキュウコン|75.0|70.0|50|1000000.0|Fox Pokémon|1.1|19.9|20|25.0|1|False|False|False|False|False|False|False
39|39|Jigglypuff|115|45|20|45|25|20|270|45.0|Cute Charm|Competitive|Friend Guard|Normal|Fairy|Purinプリン|170.0|70.0|50|800000.0|Balloon Pokémon|0.5|5.5|10|25.0|1|False|False|False|False|False|False|False
40|40|Wigglytuff|140|70|45|85|50|45|435|72.5|Cute Charm|Competitive|Frisk|Normal|Fairy|Pukurinプクリン|50.0|70.0|50|800000.0|Balloon Pokémon|1.0|12.0|10|25.0|1|False|False|False|False|False|False|False
41|41|Zubat|40|45|35|30|40|55|245|40.83|Inner Focus||Infiltrator|Poison|Flying|Zubatズバット|255.0|70.0|50|1000000.0|Bat Pokémon|0.8|7.5|15|50|1|False|False|False|False|False|False|False
42|42|Golbat|75|80|70|65|75|90|455|75.83|Inner Focus||Infiltrator|Poison|Flying|Golbatゴルバット|90.0|70.0|50|1000000.0|Bat Pokémon|1.6|55.0|15|50|1|False|False|False|False|False|False|False
43|43|Oddish|45|50|55|75|65|30|320|53.33|Chlorophyll||Run Away|Grass|Poison|Nazonokusaナゾノクサ|255.0|70.0|50|1059860.0|Weed Pokémon|0.5|5.4|20|50|1|False|False|False|False|False|False|False
44|44|Gloom|60|65|70|85|75|40|395|65.83|Chlorophyll||Stench|Grass|Poison|Kusaihanaクサイハナ|120.0|70.0|50|1059860.0|Weed Pokémon|0.8|8.6|20|50|1|False|False|False|False|False|False|False
45|45|Vileplume|75|80|85|110|90|50|490|81.67|Chlorophyll||Effect Spore|Grass|Poison|Ruffresiaラフレシア|45.0|70.0|50|1059860.0|Flower Pokémon|1.2|18.6|20|50|1|False|False|False|False|False|False|False
46|46|Paras|35|70|55|45|55|25|285|47.5|Effect Spore|Dry Skin|Damp|Bug|Grass|Parasパラス|190.0|70.0|50|1000000.0|Mushroom Pokémon|0.3|5.4|20|50|1|False|False|False|False|False|False|False
47|47|Parasect|60|95|80|60|80|30|405|67.5|Effect Spore|Dry Skin|Damp|Bug|Grass|Parasectパラセクト|75.0|70.0|50|1000000.0|Mushroom Pokémon|1.0|29.5|20|50|1|False|False|False|False|False|False|False
48|48|Venonat|60|55|50|40|55|45|305|50.83|Compound Eyes|Tinted Lens|Run Away|Bug|Poison|Kongpangコンパン|190.0|70.0|50|1000000.0|Insect Pokémon|1.0|30.0|20|50|1|False|False|False|False|False|False|False
49|49|Venomoth|70|65|60|90|75|90|450|75.0|Shield Dust|Tinted Lens|Wonder Skin|Bug|Poison|Morphonモルフォン|75.0|70.0|50|1000000.0|Poison Moth Pokémon|1.5|12.5|20|50|1|False|False|False|False|False|False|False
50|50|Diglett|10|55|25|35|45|95|265|44.17|Sand Veil|Arena Trap|Sand Force|Ground||Digdaディグダ|255.0|70.0|50|1000000.0|Mole Pokémon|0.2|0.8|20|50|1|False|False|False|False|False|False|False
50|050A|Diglett (Alolan Diglett)|10|55|30|35|45|90|265|44.17|Sand Veil|Tangling Hair|Sand Force|Ground|Steel|Digdaディグダ|255.0|70.0|50|1000000.0|Mole Pokémon|0.2|1.0|20|50|1|False|False|False|False|False|False|False
51|51|Dugtrio|35|100|50|50|70|120|425|70.83|Sand Veil|Arena Trap|Sand Force|Ground||Dugtrioダグトリオ|50.0|70.0|50|1000000.0|Mole Pokémon|0.7|33.3|20|50|1|False|False|False|False|False|False|False
51|051A|Dugtrio (Alolan Dugtrio)|35|100|60|50|70|110|425|70.83|Sand Veil|Tangling Hair|Sand Force|Ground|Steel|Dugtrioダグトリオ|50.0|70.0|50|1000000.0|Mole Pokémon|0.7|66.6|20|50|1|False|False|False|False|False|False|False
52|52|Meowth|40|45|35|40|40|90|290|48.33|Pickup|Technician|Unnerve|Normal||Nyarthニャース|255.0|70.0|50|1000000.0|Scratch Cat Pokémon|0.4|4.2|20|50|1|False|False|False|False|False|False|False
52|052A|Meowth (Alolan Meowth)|40|35|35|50|40|90|290|48.33|Pickup|Technician|Rattled|Dark||Nyarthニャース|255.0|70.0|50|1000000.0|Scratch Cat Pokémon|0.4|4.2|20|50|1|False|False|False|False|False|False|False
52|052G|Meowth (Galarian Meowth)|50|65|55|40|40|40|290|48.33|Pickup|Tough Claws|Unnerve|Steel||Nyarthニャース|255.0|70.0|50|1000000.0|Scratch Cat Pokémon|0.4|7.5|20|50|1|False|False|False|False|False|False|False
53|53|Persian|65|70|60|65|65|115|440|73.33|Limber|Technician|Unnerve|Normal||Persianペルシアン|90.0|70.0|50|1000000.0|Classy Cat Pokémon|1.0|32.0|20|50|1|False|False|False|False|False|False|False
53|053A|Persian (Alolan Persian)|65|60|60|75|65|115|440|73.33|Fur Coat|Technician|Rattled|Dark||Persianペルシアン|90.0|70.0|50|1000000.0|Classy Cat Pokémon|1.1|33.0|20|50|1|False|False|False|False|False|False|False
54|54|Psyduck|50|52|48|65|50|55|320|53.33|Damp|Cloud Nine|Swift Swim|Water||Koduckコダック|190.0|70.0|50|1000000.0|Duck Pokémon|0.8|19.6|20|50|1|False|False|False|False|False|False|False
55|55|Golduck|80|82|78|95|80|85|500|83.33|Damp|Cloud Nine|Swift Swim|Water||Golduckゴルダック|75.0|70.0|50|1000000.0|Duck Pokémon|1.7|76.6|20|50|1|False|False|False|False|False|False|False
56|56|Mankey|40|80|35|35|45|70|305|50.83|Vital Spirit|Anger Point|Defiant|Fighting||Mankeyマンキー|190.0|70.0|50|1000000.0|Pig Monkey Pokémon|0.5|28.0|20|50|1|False|False|False|False|False|False|False
57|57|Primeape|65|105|60|60|70|95|455|75.83|Vital Spirit|Anger Point|Defiant|Fighting||Okorizaruオコリザル|75.0|70.0|50|1000000.0|Pig Monkey Pokémon|1.0|32.0|20|50|1|False|False|False|False|False|False|False
58|58|Growlithe|55|70|45|70|50|60|350|58.33|Intimidate|Flash Fire|Justified|Fire||Gardieガーディ|190.0|70.0|50|1250000.0|Puppy Pokémon|0.7|19.0|20|75.0|1|False|False|False|False|False|False|False
59|59|Arcanine|90|110|80|100|80|95|555|92.5|Intimidate|Flash Fire|Justified|Fire||Windieウインディ|75.0|70.0|50|1250000.0|Legendary Pokémon|1.9|155.0|20|75.0|1|False|False|False|False|False|False|False
60|60|Poliwag|40|50|40|40|40|90|300|50.0|Water Absorb|Damp|Swift Swim|Water||Nyoromoニョロモ|255.0|70.0|50|1059860.0|Tadpole Pokémon|0.6|12.4|20|50|1|False|False|False|False|False|False|False
61|61|Poliwhirl|65|65|65|50|50|90|385|64.17|Water Absorb|Damp|Swift Swim|Water||Nyorozoニョロゾ|120.0|70.0|50|1059860.0|Tadpole Pokémon|1.0|20.0|20|50|1|False|False|False|False|False|False|False
62|62|Poliwrath|90|95|95|70|90|70|510|85.0|Water Absorb|Damp|Swift Swim|Water|Fighting|Nyorobonニョロボン|45.0|70.0|50|1059860.0|Tadpole Pokémon|1.3|54.0|20|50|1|False|False|False|False|False|False|False
63|63|Abra|25|20|15|105|55|90|310|51.67|Synchronize|Inner Focus|Magic Guard|Psychic||Caseyケーシィ|200.0|70.0|50|1059860.0|Psi Pokémon|0.9|19.5|20|75.0|1|False|False|False|False|False|False|False
64|64|Kadabra|40|35|30|120|70|105|400|66.67|Synchronize|Inner Focus|Magic Guard|Psychic||Yungererユンゲラー|100.0|70.0|50|1059860.0|Psi Pokémon|1.3|56.5|20|75.0|1|False|False|False|False|False|False|False
65|65|Alakazam|55|50|45|135|95|120|500|83.33|Synchronize|Inner Focus|Magic Guard|Psychic||Foodinフーディン|50.0|70.0|50|1059860.0|Psi Pokémon|1.5|48.0|20|75.0|1|False|False|False|False|False|False|False
65|065M|Alakazam (Mega Alakazam)|55|50|65|175|105|150|600|100.0|Trace|||Psychic||MegaFoodinメガフーディン|50.0|70.0|50|1059860.0|Psi Pokémon|1.2|48.0|20|75.0|1|False|False|False|False|False|True|False
66|66|Machop|70|80|50|35|35|35|305|50.83|Guts|No Guard|Steadfast|Fighting||Wanrikyワンリキー|180.0|70.0|50|1059860.0|Superpower Pokémon|0.8|19.5|20|75.0|1|False|False|False|False|False|False|False
67|67|Machoke|80|100|70|50|60|45|405|67.5|Guts|No Guard|Steadfast|Fighting||Gorikyゴーリキー|90.0|70.0|50|1059860.0|Superpower Pokémon|1.5|70.5|20|75.0|1|False|False|False|False|False|False|False
68|68|Machamp|90|130|80|65|85|55|505|84.17|Guts|No Guard|Steadfast|Fighting||Kairikyカイリキー|45.0|70.0|50|1059860.0|Superpower Pokémon|1.6|130.0|20|75.0|1|False|False|False|False|False|False|False
69|69|Bellsprout|50|75|35|70|30|40|300|50.0|Chlorophyll||Gluttony|Grass|Poison|Madatsubomiマダツボミ|255.0|70.0|50|1059860.0|Flower Pokémon|0.7|4.0|20|50|1|False|False|False|False|False|False|False
70|70|Weepinbell|65|90|50|85|45|55|390|65.0|Chlorophyll||Gluttony|Grass|Poison|Utsudonウツドン|120.0|70.0|50|1059860.0|Flycatcher Pokémon|1.0|6.4|20|50|1|False|False|False|False|False|False|False
71|71|Victreebel|80|105|65|100|70|70|490|81.67|Chlorophyll||Gluttony|Grass|Poison|Utsubotウツボット|45.0|70.0|50|1059860.0|Flycatcher Pokémon|1.7|15.5|20|50|1|False|False|False|False|False|False|False
72|72|Tentacool|40|40|35|50|100|70|335|55.83|Clear Body|Liquid Ooze|Rain Dish|Water|Poison|Menokurageメノクラゲ|190.0|70.0|50|1250000.0|Jellyfish Pokémon|0.9|45.5|20|50|1|False|False|False|False|False|False|False
73|73|Tentacruel|80|70|65|80|120|100|515|85.83|Clear Body|Liquid Ooze|Rain Dish|Water|Poison|Dokukurageドククラゲ|60.0|70.0|50|1250000.0|Jellyfish Pokémon|1.6|55.0|20|50|1|False|False|False|False|False|False|False
74|74|Geodude|40|80|100|30|30|20|300|50.0|Rock Head|Sturdy|Sand Veil|Rock|Ground|Isitsubuteイシツブテ|255.0|70.0|50|1059860.0|Rock Pokémon|0.4|20.0|15|50|1|False|False|False|False|False|False|False
74|074A|Geodude (Alolan Geodude)|40|80|100|30|30|20|300|50.0|Magnet Pull|Sturdy|Galvanize|Rock|Electric|Isitsubuteイシツブテ|255.0|70.0|50|1059860.0|Rock Pokémon|0.4|20.3|15|50|1|False|False|False|False|False|False|False
75|75|Graveler|55|95|115|45|45|35|390|65.0|Rock Head|Sturdy|Sand Veil|Rock|Ground|Goloneゴローン|120.0|70.0|50|1059860.0|Rock Pokémon|1.0|105.0|15|50|1|False|False|False|False|False|False|False
75|075A|Graveler (Alolan Graveler)|55|95|115|45|45|35|390|65.0|Magnet Pull|Sturdy|Galvanize|Rock|Electric|Goloneゴローン|120.0|70.0|50|1059860.0|Rock Pokémon|1.0|110.0|15|50|1|False|False|False|False|False|False|False
76|76|Golem|80|120|130|55|65|45|495|82.5|Rock Head|Sturdy|Sand Veil|Rock|Ground|Golonyaゴローニャ|45.0|70.0|50|1059860.0|Megaton Pokémon|1.4|300.0|15|50|1|False|False|False|False|False|False|False
76|076A|Golem (Alolan Golem)|80|120|130|55|65|45|495|82.5|Magnet Pull|Sturdy|Galvanize|Rock|Electric|Golonyaゴローニャ|45.0|70.0|50|1059860.0|Megaton Pokémon|1.7|316.0|15|50|1|False|False|False|False|False|False|False
77|77|Ponyta|50|85|55|65|65|90|410|68.33|Run Away|Flash Fire|Flame Body|Fire||Ponytaポニータ|190.0|70.0|50|1000000.0|Fire Horse Pokémon|1.0|30.0|20|50|1|False|False|False|False|False|False|False
77|077G|Ponyta (Galarian Ponyta)|50|85|55|65|65|90|410|68.33|Run Away|Pastel Veil|Anticipation|Psychic||Ponytaポニータ|190.0|70.0|50|1000000.0|Unique Horn Pokémon|0.8|24.0|20|50|1|False|False|False|False|False|False|False
78|78|Rapidash|65|100|70|80|80|105|500|83.33|Run Away|Flash Fire|Flame Body|Fire||Gallopギャロップ|60.0|70.0|50|1000000.0|Fire Horse Pokémon|1.7|95.0|20|50|1|False|False|False|False|False|False|False
78|078G|Rapidash (Galarian Rapidash)|65|100|70|80|80|105|500|83.33|Run Away|Pastel Veil|Anticipation|Psychic|Fairy|Gallopギャロップ|60.0|70.0|50|1000000.0|Unique Horn Pokémon|1.7|80.0|20|50|1|False|False|False|False|False|False|False
79|79|Slowpoke|90|65|65|40|40|15|315|52.5|Oblivious|Own Tempo|Regenerator|Water|Psychic|Yadonヤドン|190.0|70.0|50|1000000.0|Dopey Pokémon|1.2|36.0|20|50|1|False|False|False|False|False|False|False
79|079G|Slowpoke (Galarian Slowpoke)|90|65|65|40|40|15|315|52.5|Gluttony|Own Tempo|Regenerator|Psychic||Yadonヤドン|190.0|70.0|50|1000000.0|Dopey Pokémon|1.2|36.0|20|50|1|False|False|False|False|False|False|False
80|80|Slowbro|95|75|110|100|80|30|490|81.67|Oblivious|Own Tempo|Regenerator|Water|Psychic|Yadoranヤドラン|75.0|70.0|50|1000000.0|Hermit Crab Pokémon|1.6|78.5|20|50|1|False|False|False|False|False|False|False
80|080G|Slowbro (Galarian Slowbro)|95|100|95|100|70|30|490|81.67|Quick Draw|Own Tempo|Regenerator|Poison|Psychic|Yadoranヤドラン|75.0|70.0|50|1000000.0|Hermit Crab Pokémon|2.0|120.0|20|50|1|False|False|False|False|False|False|False
80|080M|Slowbro (Mega Slowbro)|95|75|180|130|80|30|590|98.33|Shell Armor|||Water|Psychic|MegaYadoranメガヤドラン|75.0|70.0|50|1000000.0|Hermit Crab Pokémon|1.6|70.5|20|50|1|False|False|False|False|False|True|False
81|81|Magnemite|25|35|70|95|55|45|325|54.17|Magnet Pull|Sturdy|Analytic|Electric|Steel|Coilコイル|190.0|70.0|50|1000000.0|Magnet Pokémon|0.3|6.0|20||1|False|False|False|False|False|False|False
82|82|Magneton|50|60|95|120|70|70|465|77.5|Magnet Pull|Sturdy|Analytic|Electric|Steel|Rarecoilレアコイル|60.0|70.0|50|1000000.0|Magnet Pokémon|1.0|60.0|20||1|False|False|False|False|False|False|False
83|83|Farfetch'd|52|90|55|58|62|60|377|62.83|Keen Eye|Inner Focus|Defiant|Normal|Flying|Kamonegiカモネギ|45.0|70.0|50|1000000.0|Wild Duck Pokémon|0.8|15.0|20|50|1|False|False|False|False|False|False|False
83|083G|Farfetch'd (Galarian Farfetch'd)|52|95|55|58|62|55|377|62.83|Steadfast||Scrappy|Fighting||Kamonegiカモネギ|45.0|70.0|50|1000000.0|Wild Duck Pokémon|0.8|42.0|20|50|1|False|False|False|False|False|False|False
84|84|Doduo|35|85|45|35|35|75|310|51.67|Run Away|Early Bird|Tangled Feet|Normal|Flying|Dodoドードー|190.0|70.0|50|1000000.0|Twin Bird Pokémon|1.4|39.2|20|50|1|False|False|False|False|False|False|False
85|85|Dodrio|60|110|70|60|60|110|470|78.33|Run Away|Early Bird|Tangled Feet|Normal|Flying|Dodorioドードリオ|45.0|70.0|50|1000000.0|Triple Bird Pokémon|1.8|85.2|20|50|1|False|False|False|False|False|False|False
86|86|Seel|65|45|55|45|70|45|325|54.17|Thick Fat|Hydration|Ice Body|Water||Pawouパウワウ|190.0|70.0|50|1000000.0|Sea Lion Pokémon|1.1|90.0|20|50|1|False|False|False|False|False|False|False
