pokedex_number|pokedex_number_form|name|hp|attack|defense|sp_attack|sp_defense|speed|base_total|base_average|ability_1|ability_2|hidden_ability|type_1|type_2|japanese_name|catch_rate|base_friendship_old|base_friendship|exp_100|category|height_m|weight_kg|hatch_cycles
19|019A|Rattata (Alolan Rattata)|30|56|35|25|35|72|253|42.17|Gluttony|Hustle|Thick Fat|Dark|Normal|Korattaコラッタ|255|70|50|1000000|Mouse Pokémon|0.3|3.8|15
20|20|Raticate|55|81|60|50|70|97|413|68.83|Run Away|Guts|Hustle|Normal||Rattaラッタ|127|70|50|1000000|Mouse Pokémon|0.7|18.5|15
20|020A|Raticate (Alolan Raticate)|75|71|70|40|80|77|413|68.83|Gluttony|Hustle|Thick Fat|Dark|Normal|Rattaラッタ|127|70|50|1000000|Mouse Pokémon|0.7|25.5|15
21|21|Spearow|40|60|30|31|31|70|262|43.67|Keen Eye||Sniper|Normal|Flying|Onisuzumeオニスズメ|255|70|50|1000000|Tiny Bird Pokémon|0.3|2|15
22|22|Fearow|65|90|65|61|61|100|442|73.67|Keen Eye||Sniper|Normal|Flying|Onidrillオニドリル|90|70|50|1000000|Beak Pokémon|1.2|38|15
23|23|Ekans|35|60|44|40|54|55|288|48|Intimidate|Shed Skin|Unnerve|Poison||Arboアーボ|255|70|50|1000000|Snake Pokémon|2|6.9|20
24|24|Arbok|60|95|69|65|79|80|448|74.67|Intimidate|Shed Skin|Unnerve|Poison||Arbokアーボック|90|70|50|1000000|Cobra Pokémon|3.5|65|20
25|25|Pikachu|35|55|40|50|50|90|320|53.33|Static||Lightning Rod|Electric||Pikachuピカチュウ|190|70|50|1000000|Mouse Pokémon|0.4|6|10
25|025Pa|Pikachu (Partner Pikachu)|45|80|50|75|60|120|430|71.67|Static|||Electric||Pikachuピカチュウ|255|70|50|1000000|Mouse Pokémon|0.4|6|10
26|26|Raichu|60|90|55|90|80|110|485|80.83|Static||Lightning Rod|Electric||Raichuライチュウ|75|70|50|1000000|Mouse Pokémon|0.8|30|10
26|026A|Raichu (Alolan Raichu)|60|85|50|95|85|110|485|80.83|Surge Surfer|||Electric|Psychic|Raichuライチュウ|75|70|50|1000000|Mouse Pokémon|0.7|21|10
27|27|Sandshrew|50|75|85|20|30|40|300|50|Sand Veil||Sand Rush|Ground||Sandサンド|255|70|50|1000000|Mouse Pokémon|0.6|12|20
27|027A|Sandshrew (Alolan Sandshrew)|50|75|90|10|35|40|300|50|Snow Cloak||Slush Rush|Ice|Steel|Sandサンド|255|70|50|1000000|Mouse Pokémon|0.7|40|20
28|28|Sandslash|75|100|110|45|55|65|450|75|Sand Veil||Sand Rush|Ground||Sandpanサンドパン|90|70|50|1000000|Mouse Pokémon|1|29.5|20
28|028A|Sandslash (Alolan Sandslash)|75|100|120|25|65|65|450|75|Snow Cloak||Slush Rush|Ice|Steel|Sandpanサンドパン|90|70|50|1000000|Mouse Pokémon|1.2|55|20
29|29|Nidoran♀|55|47|52|40|40|41|275|45.83|Poison Point|Rivalry|Hustle|Poison||Nidoran?ニドラン♀|235|70|50|1059860|Poison Pin Pokémon|0.4|7|20
30|30|Nidorina|70|62|67|55|55|56|365|60.83|Poison Point|Rivalry|Hustle|Poison||Nidorinaニドリーナ|120|70|50|1059860|Poison Pin Pokémon|0.8|20|20
31|31|Nidoqueen|90|92|87|75|85|76|505|84.17|Poison Point|Rivalry|Sheer Force|Poison|Ground|Nidoqueenニドクイン|45|70|50|1059860|Drill Pokémon|1.3|60|20
32|32|Nidoran♂|46|57|40|40|40|50|273|45.5|Poison Point|Rivalry|Hustle|Poison||Nidoran?ニドラン♂|235|70|50|1059860|Poison Pin Pokémon|0.5|9|20
33|33|Nidorino|61|72|57|55|55|65|365|60.83|Poison Point|Rivalry|Hustle|Poison||Nidorinoニドリーノ|120|70|50|1059860|Poison Pin Pokémon|0.9|19.5|20
34|34|Nidoking|81|102|77|85|75|85|505|84.17|Poison Point|Rivalry|Sheer Force|Poison|Ground|Nidokingニドキング|45|70|50|1059860|Drill Pokémon|1.4|62|20
35|35|Clefairy|70|45|48|60|65|35|323|53.83|Cute Charm|Magic Guard|Friend Guard|Fairy||Pippiピッピ|150|140|140|800000|Fairy Pokémon|0.6|7.5|10
36|36|Clefable|95|70|73|95|90|60|483|80.5|Cute Charm|Magic Guard|Unaware|Fairy||Pixyピクシー|25|140|140|800000|Fairy Pokémon|1.3|40|10
37|37|Vulpix|38|41|40|50|65|65|299|49.83|Flash Fire||Drought|Fire||Rokonロコン|190|70|50|1000000|Fox Pokémon|0.6|9.9|20
37|037A|Vulpix (Alolan Vulpix)|38|41|40|50|65|65|299|49.83|Snow Cloak||Snow Warning|Ice||Rokonロコン|190|70|50|1000000|Fox Pokémon|0.6|9.9|20
38|38|Ninetales|73|76|75|81|100|100|505|84.17|Flash Fire||Drought|Fire||Kyukonキュウコン|75|70|50|1000000|Fox Pokémon|1.1|19.9|20
38|038A|Ninetales (Alolan Ninetales)|73|67|75|81|100|109|505|84.17|Snow Cloak||Snow Warning|Ice|Fairy|Kyukonキュウコン|75|70|50|1000000|Fox Pokémon|1.1|19.9|20
39|39|Jigglypuff|115|45|20|45|25|20|270|45|Cute Charm|Competitive|Friend Guard|Normal|Fairy|Purinプリン|170|70|50|800000|Balloon Pokémon|0.5|5.5|10
40|40|Wigglytuff|140|70|45|85|50|45|435|72.5|Cute Charm|Competitive|Frisk|Normal|Fairy|Pukurinプクリン|50|70|50|800000|Balloon Pokémon|1|12|10
41|41|Zubat|40|45|35|30|40|55|245|40.83|Inner Focus||Infiltrator|Poison|Flying|Zubatズバット|255|70|50|1000000|Bat Pokémon|0.8|7.5|15
42|42|Golbat|75|80|70|65|75|90|455|75.83|Inner Focus||Infiltrator|Poison|Flying|Golbatゴルバット|90|70|50|1000000|Bat Pokémon|1.6|55|15
43|43|Oddish|45|50|55|75|65|30|320|53.33|Chlorophyll||Run Away|Grass|Poison|Nazonokusaナゾノクサ|255|70|50|1059860|Weed Pokémon|0.5|5.4|20
44|44|Gloom|60|65|70|85|75|40|395|65.83|Chlorophyll||Stench|Grass|Poison|Kusaihanaクサイハナ|120|70|50|1059860|Weed Pokémon|0.8|8.6|20
45|45|Vileplume|75|80|85|110|90|50|490|81.67|Chlorophyll||Effect Spore|Grass|Poison|Ruffresiaラフレシア|45|70|50|1059860|Flower Pokémon|1.2|18.6|20
46|46|Paras|35|70|55|45|55|25|285|47.5|Effect Spore|Dry Skin|Damp|Bug|Grass|Parasパラス|190|70|50|1000000|Mushroom Pokémon|0.3|5.4|20
47|47|Parasect|60|95|80|60|80|30|405|67.5|Effect Spore|Dry Skin|Damp|Bug|Grass|Parasectパラセクト|75|70|50|1000000|Mushroom Pokémon|1|29.5|20
48|48|Venonat|60|55|50|40|55|45|305|50.83|Compound Eyes|Tinted Lens|Run Away|Bug|Poison|Kongpangコンパン|190|70|50|1000000|Insect Pokémon|1|30|20
49|49|Venomoth|70|65|60|90|75|90|450|75|Shield Dust|Tinted Lens|Wonder Skin|Bug|Poison|Morphonモルフォン|75|70|50|1000000|Poison Moth Pokémon|1.5|12.5|20
50|50|Diglett|10|55|25|35|45|95|265|44.17|Sand Veil|Arena Trap|Sand Force|Ground||Digdaディグダ|255|70|50|1000000|Mole Pokémon|0.2|0.8|20
50|050A|Diglett (Alolan Diglett)|10|55|30|35|45|90|265|44.17|Sand Veil|Tangling Hair|Sand Force|Ground|Steel|Digdaディグダ|255|70|50|1000000|Mole Pokémon|0.2|1|20
51|51|Dugtrio|35|100|50|50|70|120|425|70.83|Sand Veil|Arena Trap|Sand Force|Ground||Dugtrioダグトリオ|50|70|50|1000000|Mole Pokémon|0.7|33.3|20
51|051A|Dugtrio (Alolan Dugtrio)|35|100|60|50|70|110|425|70.83|Sand Veil|Tangling Hair|Sand Force|Ground|Steel|Dugtrioダグトリオ|50|70|50|1000000|Mole Pokémon|0.7|66.6|20
52|52|Meowth|40|45|35|40|40|90|290|48.33|Pickup|Technician|Unnerve|Normal||Nyarthニャース|255|70|50|1000000|Scratch Cat Pokémon|0.4|4.2|20
52|052A|Meowth (Alolan Meowth)|40|35|35|50|40|90|290|48.33|Pickup|Technician|Rattled|Dark||Nyarthニャース|255|70|50|1000000|Scratch Cat Pokémon|0.4|4.2|20
52|052G|Meowth (Galarian Meowth)|50|65|55|40|40|40|290|48.33|Pickup|Tough Claws|Unnerve|Steel||Nyarthニャース|255|70|50|1000000|Scratch Cat Pokémon|0.4|7.5|20
53|53|Persian|65|70|60|65|65|115|440|73.33|Limber|Technician|Unnerve|Normal||Persianペルシアン|90|70|50|1000000|Classy Cat Pokémon|1|32|20
53|053A|Persian (Alolan Persian)|65|60|60|75|65|115|440|73.33|Fur Coat|Technician|Rattled|Dark||Persianペルシアン|90|70|50|1000000|Classy Cat Pokémon|1.1|33|20
54|54|Psyduck|50|52|48|65|50|55|320|53.33|Damp|Cloud Nine|Swift Swim|Water||Koduckコダック|190|70|50|1000000|Duck Pokémon|0.8|19.6|20
55|55|Golduck|80|82|78|95|80|85|500|83.33|Damp|Cloud Nine|Swift Swim|Water||Golduckゴルダック|75|70|50|1000000|Duck Pokémon|1.7|76.6|20
56|56|Mankey|40|80|35|35|45|70|305|50.83|Vital Spirit|Anger Point|Defiant|Fighting||Mankeyマンキー|190|70|50|1000000|Pig Monkey Pokémon|0.5|28|20
57|57|Primeape|65|105|60|60|70|95|455|75.83|Vital Spirit|Anger Point|Defiant|Fighting||Okorizaruオコリザル|75|70|50|1000000|Pig Monkey Pokémon|1|32|20
58|58|Growlithe|55|70|45|70|50|60|350|58.33|Intimidate|Flash Fire|Justified|Fire||Gardieガーディ|190|70|50|1250000|Puppy Pokémon|0.7|19|20
59|59|Arcanine|90|110|80|100|80|95|555|92.5|Intimidate|Flash Fire|Justified|Fire||Windieウインディ|75|70|50|1250000|Legendary Pokémon|1.9|155|20
60|60|Poliwag|40|50|40|40|40|90|300|50|Water Absorb|Damp|Swift Swim|Water||Nyoromoニョロモ|255|70|50|1059860|Tadpole Pokémon|0.6|12.4|20
61|61|Poliwhirl|65|65|65|50|50|90|385|64.17|Water Absorb|Damp|Swift Swim|Water||Nyorozoニョロゾ|120|70|50|1059860|Tadpole Pokémon|1|20|20
62|62|Poliwrath|90|95|95|70|90|70|510|85|Water Absorb|Damp|Swift Swim|Water|Fighting|Nyorobonニョロボン|45|70|50|1059860|Tadpole Pokémon|1.3|54|20
63|63|Abra|25|20|15|105|55|90|310|51.67|Synchronize|Inner Focus|Magic Guard|Psychic||Caseyケーシィ|200|70|50|1059860|Psi Pokémon|0.9|19.5|20
64|64|Kadabra|40|35|30|120|70|105|400|66.67|Synchronize|Inner Focus|Magic Guard|Psychic||Yungererユンゲラー|100|70|50|1059860|Psi Pokémon|1.3|56.5|20
65|65|Alakazam|55|50|45|135|95|120|500|83.33|Synchronize|Inner Focus|Magic Guard|Psychic||Foodinフーディン|50|70|50|1059860|Psi Pokémon|1.5|48|20
65|065M|Alakazam (Mega Alakazam)|55|50|65|175|105|150|600|100|Trace|||Psychic||MegaFoodinメガフーディン|50|70|50|1059860|Psi Pokémon|1.2|48|20
66|66|Machop|70|80|50|35|35|35|305|50.83|Guts|No Guard|Steadfast|Fighting||Wanrikyワンリキー|180|70|50|1059860|Superpower Pokémon|0.8|19.5|20
67|67|Machoke|80|100|70|50|60|45|405|67.5|Guts|No Guard|Steadfast|Fighting||Gorikyゴーリキー|90|70|50|1059860|Superpower Pokémon|1.5|70.5|20
68|68|Machamp|90|130|80|65|85|55|505|84.17|Guts|No Guard|Steadfast|Fighting||Kairikyカイリキー|45|70|50|1059860|Superpower Pokémon|1.6|130|20
69|69|Bellsprout|50|75|35|70|30|40|300|50|Chlorophyll||Gluttony|Grass|Poison|Madatsubomiマダツボミ|255|70|50|1059860|Flower Pokémon|0.7|4|20
70|70|Weepinbell|65|90|50|85|45|55|390|65|Chlorophyll||Gluttony|Grass|Poison|Utsudonウツドン|120|70|50|1059860|Flycatcher Pokémon|1|6.4|20
71|71|Victreebel|80|105|65|100|70|70|490|81.67|Chlorophyll||Gluttony|Grass|Poison|Utsubotウツボット|45|70|50|1059860|Flycatcher Pokémon|1.7|15.5|20
72|72|Tentacool|40|40|35|50|100|70|335|55.83|Clear Body|Liquid Ooze|Rain Dish|Water|Poison|Menokurageメノクラゲ|190|70|50|1250000|Jellyfish Pokémon|0.9|45.5|20
73|73|Tentacruel|80|70|65|80|120|100|515|85.83|Clear Body|Liquid Ooze|Rain Dish|Water|Poison|Dokukurageドククラゲ|60|70|50|1250000|Jellyfish Pokémon|1.6|55|20
74|74|Geodude|40|80|100|30|30|20|300|50|Rock Head|Sturdy|Sand Veil|Rock|Ground|Isitsubuteイシツブテ|255|70|50|1059860|Rock Pokémon|0.4|20|15
74|074A|Geodude (Alolan Geodude)|40|80|100|30|30|20|300|50|Magnet Pull|Sturdy|Galvanize|Rock|Electric|Isitsubuteイシツブテ|255|70|50|1059860|Rock Pokémon|0.4|20.3|15
75|75|Graveler|55|95|115|45|45|35|390|65|Rock Head|Sturdy|Sand Veil|Rock|Ground|Goloneゴローン|120|70|50|1059860|Rock Pokémon|1|105|15
75|075A|Graveler (Alolan Graveler)|55|95|115|45|45|35|390|65|Magnet Pull|Sturdy|Galvanize|Rock|Electric|Goloneゴローン|120|70|50|1059860|Rock Pokémon|1|110|15
76|76|Golem|80|120|130|55|65|45|495|82.5|Rock Head|Sturdy|Sand Veil|Rock|Ground|Golonyaゴローニャ|45|70|50|1059860|Megaton Pokémon|1.4|300|15
76|076A|Golem (Alolan Golem)|80|120|130|55|65|45|495|82.5|Magnet Pull|Sturdy|Galvanize|Rock|Electric|Golonyaゴローニャ|45|70|50|1059860|Megaton Pokémon|1.7|316|15
77|77|Ponyta|50|85|55|65|65|90|410|68.33|Run Away|Flash Fire|Flame Body|Fire||Ponytaポニータ|190|70|50|1000000|Fire Horse Pokémon|1|30|20
77|077G|Ponyta (Galarian Ponyta)|50|85|55|65|65|90|410|68.33|Run Away|Pastel Veil|Anticipation|Psychic||Ponytaポニータ|190|70|50|1000000|Unique Horn Pokémon|0.8|24|20
78|78|Rapidash|65|100|70|80|80|105|500|83.33|Run Away|Flash Fire|Flame Body|Fire||Gallopギャロップ|60|70|50|1000000|Fire Horse Pokémon|1.7|95|20
78|078G|Rapidash (Galarian Rapidash)|65|100|70|80|80|105|500|83.33|Run Away|Pastel Veil|Anticipation|Psychic|Fairy|Gallopギャロップ|60|70|50|1000000|Unique Horn Pokémon|1.7|80|20
79|79|Slowpoke|90|65|65|40|40|15|315|52.5|Oblivious|Own Tempo|Regenerator|Water|Psychic|Yadonヤドン|190|70|50|1000000|Dopey Pokémon|1.2|36|20
79|079G|Slowpoke (Galarian Slowpoke)|90|65|65|40|40|15|315|52.5|Gluttony|Own Tempo|Regenerator|Psychic||Yadonヤドン|190|70|50|1000000|Dopey Pokémon|1.2|36|20
80|80|Slowbro|95|75|110|100|80|30|490|81.67|Oblivious|Own Tempo|Regenerator|Water|Psychic|Yadoranヤドラン|75|70|50|1000000|Hermit Crab Pokémon|1.6|78.5|20
80|080G|Slowbro (Galarian Slowbro)|95|100|95|100|70|30|490|81.67|Quick Draw|Own Tempo|Regenerator|Poison|Psychic|Yadoranヤドラン|75|70|50|1000000|Hermit Crab Pokémon|2|120|20
80|080M|Slowbro (Mega Slowbro)|95|75|180|130|80|30|590|98.33|Shell Armor|||Water|Psychic|MegaYadoranメガヤドラン|75|70|50|1000000|Hermit Crab Pokémon|1.6|70.5|20
81|81|Magnemite|25|35|70|95|55|45|325|54.17|Magnet Pull|Sturdy|Analytic|Electric|Steel|Coilコイル|190|70|50|1000000|Magnet Pokémon|0.3|6|20
82|82|Magneton|50|60|95|120|70|70|465|77.5|Magnet Pull|Sturdy|Analytic|Electric|Steel|Rarecoilレアコイル|60|70|50|1000000|Magnet Pokémon|1|60|20
83|83|Farfetch'd|52|90|55|58|62|60|377|62.83|Keen Eye|Inner Focus|Defiant|Normal|Flying|Kamonegiカモネギ|45|70|50|1000000|Wild Duck Pokémon|0.8|15|20
83|083G|Farfetch'd (Galarian Farfetch'd)|52|95|55|58|62|55|377|62.83|Steadfast||Scrappy|Fighting||Kamonegiカモネギ|45|70|50|1000000|Wild Duck Pokémon|0.8|42|20
84|84|Doduo|35|85|45|35|35|75|310|51.67|Run Away|Early Bird|Tangled Feet|Normal|Flying|Dodoドードー|190|70|50|1000000|Twin Bird Pokémon|1.4|39.2|20
85|85|Dodrio|60|110|70|60|60|110|470|78.33|Run Away|Early Bird|Tangled Feet|Normal|Flying|Dodorioドードリオ|45|70|50|1000000|Triple Bird Pokémon|1.8|85.2|20
86|86|Seel|65|45|55|45|70|45|325|54.17|Thick Fat|Hydration|Ice Body|Water||Pawouパウワウ|190|70|50|1000000|Sea Lion Pokémon|1.1|90|20
87|87|Dewgong|90|70|80|70|95|70|475|79.17|Thick Fat|Hydration|Ice Body|Water|Ice|Jugonジュゴン|75|70|50|1000000|Sea Lion Pokémon|1.7|120|20
88|88|Grimer|80|80|50|40|50|25|325|54.17|Stench|Sticky Hold|Poison Touch|Poison||Betbeterベトベター|190|70|50|1000000|Sludge Pokémon|0.9|30|20
88|088A|Grimer (Alolan Grimer)|80|80|50|40|50|25|325|54.17|Poison Touch|Gluttony|Power of Alchemy|Poison|Dark|Betbeterベトベター|190|70|50|1000000|Sludge Pokémon|0.7|42|20
89|89|Muk|105|105|75|65|100|50|500|83.33|Stench|Sticky Hold|Poison Touch|Poison||Betbetonベトベトン|75|70|50|1000000|Sludge Pokémon|1.2|30|20
89|089A|Muk (Alolan Muk)|105|105|75|65|100|50|500|83.33|Poison Touch|Gluttony|Power of Alchemy|Poison|Dark|Betbetonベトベトン|75|70|50|1000000|Sludge Pokémon|1|52|20
90|90|Shellder|30|65|100|45|25|40|305|50.83|Shell Armor|Skill Link|Overcoat|Water||Shellderシェルダー|190|70|50|1250000|Bivalve Pokémon|0.3|4|20
91|91|Cloyster|50|95|180|85|45|70|525|87.5|Shell Armor|Skill Link|Overcoat|Water|Ice|Parshenパルシェン|60|70|50|1250000|Bivalve Pokémon|1.5|132.5|20
92|92|Gastly|30|35|30|100|35|80|310|51.67|Levitate|||Ghost|Poison|Ghosゴース|190|70|50|1059860|Gas Pokémon|1.3|0.1|20
93|93|Haunter|45|50|45|115|55|95|405|67.5|Levitate|||Ghost|Poison|Ghostゴースト|90|70|50|1059860|Gas Pokémon|1.6|0.1|20
94|94|Gengar|60|65|60|130|75|110|500|83.33|Cursed Body|||Ghost|Poison|Gangarゲンガー|45|70|50|1059860|Shadow Pokémon|1.5|40.5|20
94|094M|Gengar (Mega Gengar)|60|65|80|170|95|130|600|100|Shadow Tag|||Ghost|Poison|MegaGangarメガゲンガー|45|70|50|1059860|Shadow Pokémon|1.4|40.5|20
95|95|Onix|35|45|160|30|45|70|385|64.17|Rock Head|Sturdy|Weak Armor|Rock|Ground|Iwarkイワーク|45|70|50|1000000|Rock Snake Pokémon|8.8|210|25
96|96|Drowzee|60|48|45|43|90|42|328|54.67|Insomnia|Forewarn|Inner Focus|Psychic||Sleepeスリープ|190|70|50|1000000|Hypnosis Pokémon|1|32.4|20
97|97|Hypno|85|73|70|73|115|67|483|80.5|Insomnia|Forewarn|Inner Focus|Psychic||Sleeperスリーパー|75|70|50|1000000|Hypnosis Pokémon|1.6|75.6|20
98|98|Krabby|30|105|90|25|25|50|325|54.17|Hyper Cutter|Shell Armor|Sheer Force|Water||Crabクラブ|225|70|50|1000000|River Crab Pokémon|0.4|6.5|20
99|99|Kingler|55|130|115|50|50|75|475|79.17|Hyper Cutter|Shell Armor|Sheer Force|Water||Kinglerキングラー|60|70|50|1000000|Pincer Pokémon|1.3|60|20
100|100|Voltorb|40|30|50|55|55|100|330|55|Soundproof|Static|Aftermath|Electric||Biriridamaビリリダマ|190|70|50|1000000|Ball Pokémon|0.5|10.4|20
101|101|Electrode|60|50|70|80|80|150|490|81.67|Soundproof|Static|Aftermath|Electric||Marumineマルマイン|60|70|50|1000000|Ball Pokémon|1.2|66.6|20
102|102|Exeggcute|60|40|80|60|45|40|325|54.17|Chlorophyll||Harvest|Grass|Psychic|Tamatamaタマタマ|90|70|50|1250000|Egg Pokémon|0.4|2.5|20
103|103|Exeggutor|95|95|85|125|75|55|530|88.33|Chlorophyll||Harvest|Grass|Psychic|Nassyナッシー|45|70|50|1250000|Coconut Pokémon|2|120|20
103|103A|Exeggutor (Alolan Exeggutor)|95|105|85|125|75|45|530|88.33|Frisk||Harvest|Grass|Dragon|Nassyナッシー|45|70|50|1250000|Coconut Pokémon|10.9|415.6|20
104|104|Cubone|50|50|95|40|50|35|320|53.33|Rock Head|Lightning Rod|Battle Armor|Ground||Karakaraカラカラ|190|70|50|1000000|Lonely Pokémon|0.4|6.5|20
105|105|Marowak|60|80|110|50|80|45|425|70.83|Rock Head|Lightning Rod|Battle Armor|Ground||Garagaraガラガラ|75|70|50|1000000|Bone Keeper Pokémon|1|45|20
105|105A|Marowak (Alolan Marowak)|60|80|110|50|80|45|425|70.83|Cursed Body|Lightning Rod|Rock Head|Fire|Ghost|Garagaraガラガラ|75|70|50|1000000|Bone Keeper Pokémon|1|34|20
106|106|Hitmonlee|50|120|53|35|110|87|455|75.83|Limber|Reckless|Unburden|Fighting||Sawamularサワムラー|45|70|50|1000000|Kicking Pokémon|1.5|49.8|25
107|107|Hitmonchan|50|105|79|35|110|76|455|75.83|Keen Eye|Iron Fist|Inner Focus|Fighting||Ebiwalarエビワラー|45|70|50|1000000|Punching Pokémon|1.4|50.2|25
108|108|Lickitung|90|55|75|60|75|30|385|64.17|Own Tempo|Oblivious|Cloud Nine|Normal||Beroringaベロリンガ|45|70|50|1000000|Licking Pokémon|1.2|65.5|20
109|109|Koffing|40|65|95|60|45|35|340|56.67|Levitate|Neutralizing Gas|Stench|Poison||Dogarsドガース|190|70|50|1000000|Poison Gas Pokémon|0.6|1|20
110|110|Weezing|65|90|120|85|70|60|490|81.67|Levitate|Neutralizing Gas|Stench|Poison||Matadogasマタドガス|60|70|50|1000000|Poison Gas Pokémon|1.2|9.5|20
110|110G|Weezing (Galarian Weezing)|65|90|120|85|70|60|490|81.67|Levitate|Neutralizing Gas|Misty Surge|Poison|Fairy|Matadogasマタドガス|60|70|50|1000000|Poison Gas Pokémon|3|16|20
111|111|Rhyhorn|80|85|95|30|30|25|345|57.5|Lightning Rod|Rock Head|Reckless|Ground|Rock|Sihornサイホーン|120|70|50|1250000|Spikes Pokémon|1|115|20
112|112|Rhydon|105|130|120|45|45|40|485|80.83|Lightning Rod|Rock Head|Reckless|Ground|Rock|Sidonサイドン|60|70|50|1250000|Drill Pokémon|1.9|120|20
113|113|Chansey|250|5|5|35|105|50|450|75|Natural Cure|Serene Grace|Healer|Normal||Luckyラッキー|30|140|140|800000|Egg Pokémon|1.1|34.6|40
114|114|Tangela|65|55|115|100|40|60|435|72.5|Chlorophyll|Leaf Guard|Regenerator|Grass||Monjaraモンジャラ|45|70|50|1000000|Vine Pokémon|1|35|20
